split,source_split,subject_id,subject_key,photo_id,mask_path,mask_left_path,hwg_gender,hwg_height_cm,hwg_weight_kg,measurement_ankle,measurement_arm_length,measurement_bicep,measurement_calf,measurement_chest,measurement_forearm,measurement_height,measurement_hip,measurement_leg_length,measurement_shoulder_breadth,measurement_shoulder_to_crotch,measurement_thigh,measurement_waist,measurement_wrist
train,train,9qVCJoXCAJwZaC9u5-kXG26GlA3JmoMw92Rp5oiVEg4,train::9qVCJoXCAJwZaC9u5-kXG26GlA3JmoMw92Rp5oiVEg4,001f3a88501980a5eca6f6346a0ca8d9,data/raw/bodym/train/mask/001f3a88501980a5eca6f6346a0ca8d9.png,data/raw/bodym/train/mask_left/001f3a88501980a5eca6f6346a0ca8d9.png,female,153.6,59.2,21.848372,43.78916,28.690954,35.68446,94.80006,24.202276,154.63208,98.16104,68.42053,30.9624,57.71638,52.366783,85.13432,15.26209
train,train,Cs-o0pke1roKv1voqw9fRI46nKhiUxqh2Ai_HQPSc0w,train::Cs-o0pke1roKv1voqw9fRI46nKhiUxqh2Ai_HQPSc0w,0023f967e5089c95ae22c43e25b2cef1,data/raw/bodym/train/mask/0023f967e5089c95ae22c43e25b2cef1.png,data/raw/bodym/train/mask_left/0023f967e5089c95ae22c43e25b2cef1.png,male,172.0,61.0,22.621939,50.14398,27.49536,34.966526,93.68093,26.218576,173.70969,91.93972,78.54446,34.900066,65.28545,46.035545,78.5648,15.050462
train,train,ebzW4IRAtta9xnF_UqpCR6znOTmH6xo4Hp02dO2uo-c,train::ebzW4IRAtta9xnF_UqpCR6znOTmH6xo4Hp02dO2uo-c,0026b236ae6f63db9c354cc2916c9c34,data/raw/bodym/train/mask/0026b236ae6f63db9c354cc2916c9c34.png,data/raw/bodym/train/mask_left/0026b236ae6f63db9c354cc2916c9c34.png,male,169.0,71.3,25.174683,49.160114,31.094603,38.145325,101.48079,26.666965,172.33803,102.73555,79.42784,34.941895,62.54853,53.8257,96.66826,17.433718
train,train,59bc2767681516389ccf45c9,train::59bc2767681516389ccf45c9,003d4db18f3359c8ed8410817b726539,data/raw/bodym/train/mask/003d4db18f3359c8ed8410817b726539.png,data/raw/bodym/train/mask_left/003d4db18f3359c8ed8410817b726539.png,male,181.9,109.1,28.086737,51.958412,36.741947,42.94193,115.376305,30.353964,183.69621,122.03353,79.93328,39.64737,75.88666,62.375607,118.90043,20.445314
train,train,EU_UtqmsPy2xW35iJcsFplr9CMI5BDH-Is0qi5fVYlQ,train::EU_UtqmsPy2xW35iJcsFplr9CMI5BDH-Is0qi5fVYlQ,004c72a4efa6341764e10e6f599d4212,data/raw/bodym/train/mask/004c72a4efa6341764e10e6f599d4212.png,data/raw/bodym/train/mask_left/004c72a4efa6341764e10e6f599d4212.png,male,177.0,88.9,26.455986,50.631195,32.294445,41.6667,113.53131,28.664078,176.97072,108.86702,79.78475,37.755634,67.81419,59.505375,100.04561,18.03432
train,train,qjI5gzFZD5ngTks54SsoluCXKJzmR0yh7utNvmupAvA,train::qjI5gzFZD5ngTks54SsoluCXKJzmR0yh7utNvmupAvA,005e8eca196e8127de2fa342ccf6a007,data/raw/bodym/train/mask/005e8eca196e8127de2fa342ccf6a007.png,data/raw/bodym/train/mask_left/005e8eca196e8127de2fa342ccf6a007.png,male,179.9,91.15,26.0557,53.94879,32.187347,39.618187,117.729,28.136759,182.64674,110.628525,82.642876,39.855293,71.570015,55.59515,103.27093,18.952747
train,train,59bc2770681516389ccf494c,train::59bc2770681516389ccf494c,006269330d4250ea76578c935d09b700,data/raw/bodym/train/mask/006269330d4250ea76578c935d09b700.png,data/raw/bodym/train/mask_left/006269330d4250ea76578c935d09b700.png,female,166.05,73.4,23.822454,46.623116,30.529526,37.469193,102.18022,25.255297,165.38199,108.5886,75.21762,33.90752,61.545815,57.874207,86.02032,15.884254
train,train,W_F3KSfslhBqdPufXu4utZpQzzYipDr0O7YAUGR3VS4,train::W_F3KSfslhBqdPufXu4utZpQzzYipDr0O7YAUGR3VS4,007e27ae1b23ff14d51cf4fcd2a308e5,data/raw/bodym/train/mask/007e27ae1b23ff14d51cf4fcd2a308e5.png,data/raw/bodym/train/mask_left/007e27ae1b23ff14d51cf4fcd2a308e5.png,male,182.5,88.7,24.693071,55.11193,32.335945,38.05924,111.21097,27.276022,186.79553,108.92406,87.62526,37.851505,69.492226,57.124542,101.54864,15.847578
train,train,DzFVefVg0qyZwV68DGxNR7jyM4H3ZrNzeyrpBHnXeJo,train::DzFVefVg0qyZwV68DGxNR7jyM4H3ZrNzeyrpBHnXeJo,007ec205cc5dd598e68659994b7fc508,data/raw/bodym/train/mask/007ec205cc5dd598e68659994b7fc508.png,data/raw/bodym/train/mask_left/007ec205cc5dd598e68659994b7fc508.png,male,164.8,58.6,22.470963,48.654106,25.009876,32.949867,94.336555,23.61325,166.48729,93.43429,75.94673,33.629772,61.194347,50.118042,80.96189,16.21014
train,train,m70ndgfKAM_jHaYlk3InxW-JioR7M7Jrv51fu-wGer4,train::m70ndgfKAM_jHaYlk3InxW-JioR7M7Jrv51fu-wGer4,0093da086599ed038737bb1c8c724697,data/raw/bodym/train/mask/0093da086599ed038737bb1c8c724697.png,data/raw/bodym/train/mask_left/0093da086599ed038737bb1c8c724697.png,male,165.25,73.1,24.046818,48.798607,34.353344,36.937428,101.15799,29.368475,167.11395,102.69728,75.32643,37.476707,63.705757,56.32231,84.24069,16.865679
train,train,bt83HhrkEtECc5zsfh3QLofyfGKlq3pMdRJAASFAkP4,train::bt83HhrkEtECc5zsfh3QLofyfGKlq3pMdRJAASFAkP4,00a19f879a88dafab8af4eabbfef045a,data/raw/bodym/train/mask/00a19f879a88dafab8af4eabbfef045a.png,data/raw/bodym/train/mask_left/00a19f879a88dafab8af4eabbfef045a.png,male,166.25,75.15,24.313828,47.310127,29.635712,37.466766,101.9535,27.477064,169.26927,100.02386,75.422,35.68914,65.803665,53.814026,94.90524,17.017992
train,train,qYlb2EfOLZbw-sluXUOq5gcJJqpWXrFDdguVbtfB6Z0,train::qYlb2EfOLZbw-sluXUOq5gcJJqpWXrFDdguVbtfB6Z0,00bb4d84c9cf8903eeb0671eb66bd739,data/raw/bodym/train/mask/00bb4d84c9cf8903eeb0671eb66bd739.png,data/raw/bodym/train/mask_left/00bb4d84c9cf8903eeb0671eb66bd739.png,male,180.5,84.6,25.796959,52.539753,30.513954,39.6624,110.194,27.965828,180.86588,101.90034,82.72526,38.88244,69.445305,55.71493,95.66003,17.942816
train,train,-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,train::-brqqjqyO72GBQPYhr5Qop65-BnuAvtFdWj2dLeVrak,00e41e2dfd7b6110d0533280665fc9a2,data/raw/bodym/train/mask/00e41e2dfd7b6110d0533280665fc9a2.png,data/raw/bodym/train/mask_left/00e41e2dfd7b6110d0533280665fc9a2.png,male,178.0,71.6,26.184065,50.90554,28.226011,37.575466,98.269966,26.475168,176.38445,95.800446,79.85947,36.729366,66.34008,52.334892,79.046814,16.406305
train,train,8ihJtq2eo1xEMbVx1nioChqxCCPS6gQb-nzd9lm44kU,train::8ihJtq2eo1xEMbVx1nioChqxCCPS6gQb-nzd9lm44kU,00f0c3ff479a6b27658d147ac8f002fb,data/raw/bodym/train/mask/00f0c3ff479a6b27658d147ac8f002fb.png,data/raw/bodym/train/mask_left/00f0c3ff479a6b27658d147ac8f002fb.png,female,160.0,57.0,22.135258,47.69006,25.430828,34.256714,93.29913,23.036125,159.84749,93.85415,74.59376,32.466873,58.540485,48.960903,80.10632,14.611417
train,train,ue3P1rds2SorwiUP4tCm0-7FzgMFwMCRwqVvbKo9jwc,train::ue3P1rds2SorwiUP4tCm0-7FzgMFwMCRwqVvbKo9jwc,00f33d68beefd6928dbbc1df5027e1c4,data/raw/bodym/train/mask/00f33d68beefd6928dbbc1df5027e1c4.png,data/raw/bodym/train/mask_left/00f33d68beefd6928dbbc1df5027e1c4.png,male,163.6,79.8,25.057215,47.213074,35.03579,39.19109,113.46762,28.835524,164.8861,100.33296,72.96671,36.965717,63.05485,57.202675,97.62008,16.952927
train,train,taHC-Pu6QIN7Hwnm8L-LKUT1djCbnSzOxBA9OiofoDA,train::taHC-Pu6QIN7Hwnm8L-LKUT1djCbnSzOxBA9OiofoDA,010191c608385f7e97afed2d59ac471b,data/raw/bodym/train/mask/010191c608385f7e97afed2d59ac471b.png,data/raw/bodym/train/mask_left/010191c608385f7e97afed2d59ac471b.png,male,171.0,55.1,22.456057,49.44086,23.982775,32.05941,86.75637,22.639109,173.10454,87.576515,78.49818,35.406296,64.27259,46.977055,71.995186,15.071249
train,train,DoCDz-OXvZTOsLd_FeNcKDJ8P3TeHgw0z6dYdBVYiZs,train::DoCDz-OXvZTOsLd_FeNcKDJ8P3TeHgw0z6dYdBVYiZs,0122fc59d2e51f43615c3f4b4b95589a,data/raw/bodym/train/mask/0122fc59d2e51f43615c3f4b4b95589a.png,data/raw/bodym/train/mask_left/0122fc59d2e51f43615c3f4b4b95589a.png,male,189.5,85.15,25.589294,55.990868,31.031052,37.261433,101.31237,28.18751,189.84993,102.76509,85.40503,39.031433,72.734406,55.654427,84.34079,17.18313
train,train,gz_EHhI5Chmv0cZhqr2LV4h7hWIFSBFVml9Nbd58qxM,train::gz_EHhI5Chmv0cZhqr2LV4h7hWIFSBFVml9Nbd58qxM,0127d26e27927942c1e18785e0831f17,data/raw/bodym/train/mask/0127d26e27927942c1e18785e0831f17.png,data/raw/bodym/train/mask_left/0127d26e27927942c1e18785e0831f17.png,male,177.0,72.6,23.403381,50.344215,33.970196,35.79989,100.10407,28.683634,177.73694,96.99788,80.80205,35.241306,65.663506,54.243206,86.96809,16.800394
train,train,groYznJWvyAz-DVhjBx0e_GsqOjzWjWwfQLkrVaAbjI,train::groYznJWvyAz-DVhjBx0e_GsqOjzWjWwfQLkrVaAbjI,012a5c6ed67366227e94b1feacb459c6,data/raw/bodym/train/mask/012a5c6ed67366227e94b1feacb459c6.png,data/raw/bodym/train/mask_left/012a5c6ed67366227e94b1feacb459c6.png,male,168.0,69.0,23.543074,47.617977,28.674368,36.27722,101.32347,25.644102,169.05978,97.75373,74.05853,36.993114,67.00774,50.605133,85.12017,15.60021
train,train,RepVnNXP8Ro--nW_dI7-Mzee4h7Uz7Zm2iQjOdl50Q0,train::RepVnNXP8Ro--nW_dI7-Mzee4h7Uz7Zm2iQjOdl50Q0,012ca70a651b0bc2e37b1eca204bb12c,data/raw/bodym/train/mask/012ca70a651b0bc2e37b1eca204bb12c.png,data/raw/bodym/train/mask_left/012ca70a651b0bc2e37b1eca204bb12c.png,male,182.0,76.6,25.162039,55.471348,29.38779,36.752525,101.4945,26.6084,181.68411,100.12631,87.12605,37.04583,66.360886,52.782413,85.10457,17.34465
train,train,76mo2dUguqyOIGL4bac3EyH7z3vFLMknog1q_Q5RMio,train::76mo2dUguqyOIGL4bac3EyH7z3vFLMknog1q_Q5RMio,0137443ba49903cceede13e710c77634,data/raw/bodym/train/mask/0137443ba49903cceede13e710c77634.png,data/raw/bodym/train/mask_left/0137443ba49903cceede13e710c77634.png,male,190.0,95.4,25.390263,55.274776,33.241745,37.35758,113.82223,28.134167,190.28853,111.86265,87.910286,38.399433,74.55843,56.01102,107.43442,17.509048
train,train,rbqXSO8r3ptq7WprPA1JX6__MhYsUVsfts58LQjoBfk,train::rbqXSO8r3ptq7WprPA1JX6__MhYsUVsfts58LQjoBfk,013f653fc8fe7e729e75b1f3c13eb9fa,data/raw/bodym/train/mask/013f653fc8fe7e729e75b1f3c13eb9fa.png,data/raw/bodym/train/mask_left/013f653fc8fe7e729e75b1f3c13eb9fa.png,female,158.0,74.1,25.32079,46.30138,31.580639,39.407402,102.14,26.708874,157.85538,109.99706,72.58581,33.598827,58.126328,59.13682,91.354965,15.726185
train,train,nNupwm_XMGtXuPI0XoKClyBSW0F_x8ghtyggcx0P4Z0,train::nNupwm_XMGtXuPI0XoKClyBSW0F_x8ghtyggcx0P4Z0,0148f4b177b6d6e07ee086cd56a11675,data/raw/bodym/train/mask/0148f4b177b6d6e07ee086cd56a11675.png,data/raw/bodym/train/mask_left/0148f4b177b6d6e07ee086cd56a11675.png,female,165.0,56.5,23.0714,48.552032,24.151928,37.421707,83.68278,22.663607,166.37582,92.51272,77.19881,31.380087,59.546513,50.103844,72.741844,15.227915
train,train,MtEI3iPNMiPKY5npP-NwXFGmNv4wL5fmJm_gz3w1gaM,train::MtEI3iPNMiPKY5npP-NwXFGmNv4wL5fmJm_gz3w1gaM,014ccba9cc82c5550b42e586d6793562,data/raw/bodym/train/mask/014ccba9cc82c5550b42e586d6793562.png,data/raw/bodym/train/mask_left/014ccba9cc82c5550b42e586d6793562.png,male,177.5,84.6,23.512712,53.208084,30.96866,38.370884,110.07244,27.34525,178.06093,105.2537,82.763336,37.711323,66.68808,56.343346,101.18398,17.191717
train,train,_u7Z0BwCME_s7MeKU31grc_GKZakyHju8ixEzhKNvDE,train::_u7Z0BwCME_s7MeKU31grc_GKZakyHju8ixEzhKNvDE,0157a94959b0633597a30b4b19d49ef1,data/raw/bodym/train/mask/0157a94959b0633597a30b4b19d49ef1.png,data/raw/bodym/train/mask_left/0157a94959b0633597a30b4b19d49ef1.png,male,180.15,85.1,25.956953,51.31186,29.484251,38.116653,104.5174,27.85429,182.35173,104.28968,84.28244,37.927002,68.78857,53.750153,100.86604,18.261215
train,train,59bc2760681516389ccf4333,train::59bc2760681516389ccf4333,015a93aa9265f25f7033402ec8e3652a,data/raw/bodym/train/mask/015a93aa9265f25f7033402ec8e3652a.png,data/raw/bodym/train/mask_left/015a93aa9265f25f7033402ec8e3652a.png,female,161.5,47.8,21.149235,46.597233,23.697065,33.203056,82.49739,21.620533,161.90535,88.54307,72.45434,31.436417,58.853874,45.885895,69.499596,14.372257
